canonical_node_id,label,category_large,category_small,category_name,all_category_smalls,current_question_ids,strong_available,exam_importance,safety_importance,clinical_reasoning,single_question_risk,strong_creation_feasibility,memorization_risk,balance_adjustment,source_quality_risk,priority_score,final_rank,recommended_pattern,reason,notes
KN0028,無痛性皮膚障害の自己管理,B,11,小児学,11,Q28,False,5,5,5,5,5,5,5,1,56,S,TYPE_J Clinical case → Intervention choice,小児学のsafety_priority。重要度5、Safety5、臨床推論5。別経路での確認価値を評価。,
KN0091,Uhthoff現象への冷却・休息,B,9,神経医学,9,Q91,False,5,5,5,5,5,5,5,1,56,S,TYPE_J Clinical case → Intervention choice,神経医学のintervention_selection。重要度5、Safety5、臨床推論5。別経路での確認価値を評価。,
KN0135,Pavlik harness装着中の皮膚圧迫・ずれを確認し自己調整を避ける,B,11,小児学,11,Q135,False,5,5,5,5,5,5,5,1,56,S,TYPE_J Clinical case → Intervention choice,小児学のsafety_priority。重要度5、Safety5、臨床推論5。別経路での確認価値を評価。,
KN0333,Down症候群児の頸部痛・歩容変化から環軸椎不安定性を疑う運動中止,B,11,小児学,11,Q336,False,5,5,5,5,5,5,5,1,56,S,TYPE_J Clinical case → Intervention choice,小児学のsafety_priority。重要度5、Safety5、臨床推論5。別経路での確認価値を評価。,
KN0473,離断性骨軟骨炎疑いで競技負荷を中止し専門評価へつなぐ判断,B,11,小児学,11,Q481,False,5,5,5,5,5,5,5,1,56,S,TYPE_J Clinical case → Intervention choice,小児学のsafety_priority。重要度5、Safety5、臨床推論5。別経路での確認価値を評価。,
KN0010,急な低酸素・呼吸困難への初期対応,C,16,運動器,16,Q10,False,5,5,5,5,5,5,4,1,55,S,TYPE_J Clinical case → Intervention choice,運動器のsafety_priority。重要度5、Safety5、臨床推論5。別経路での確認価値を評価。,
KN0011,自律神経過反射への初期対応,C,18,理学療法治療各論,18,Q11,False,5,5,5,5,5,5,4,1,55,S,TYPE_J Clinical case → Intervention choice,理学療法治療各論のsafety_priority。重要度5、Safety5、臨床推論5。別経路での確認価値を評価。,
KN0017,バイタルサインと人工呼吸器条件を監視しながら、端座位から立位へ段階的に離床を進めるへの介入選択,B,8,内科学,8,Q17,False,5,5,5,5,5,5,4,1,55,S,TYPE_J Clinical case → Intervention choice,内科学のintervention_selection。重要度5、Safety5、臨床推論5。別経路での確認価値を評価。,
KN0022,瘢痕拘縮予防のROM・伸張,C,16,運動器,16,Q22,False,5,5,5,5,5,5,4,1,55,S,TYPE_J Clinical case → Intervention choice,運動器のintervention_selection。重要度5、Safety5、臨床推論5。別経路での確認価値を評価。,
KN0043,本症例は6分間歩行後にSpO₂91％、Borg指数5まで変化しているため、運動中は酸素飽和度、呼吸困難などの自覚症状、心拍数や血圧を含む循環動態を継続的に監視し、安全な運動強度へ調,C,17,理学療法評価各論,17,Q43,False,5,5,5,5,5,5,4,1,55,S,TYPE_J Clinical case → Intervention choice,理学療法評価各論のsafety_priority。重要度5、Safety5、臨床推論5。別経路での確認価値を評価。,
