reserve_slot,candidate_source,candidate_node_id,priority_rank,reusable,reason,known_ranked_node_count
B01,42_51_reserve_candidates_v04.json,,,not_assessed,Reserve ledger record unavailable; screening summary confirms count only.,1496
B02,42_51_reserve_candidates_v04.json,,,not_assessed,Reserve ledger record unavailable; screening summary confirms count only.,1496
B03,42_51_reserve_candidates_v04.json,,,not_assessed,Reserve ledger record unavailable; screening summary confirms count only.,1496
B04,42_51_reserve_candidates_v04.json,,,not_assessed,Reserve ledger record unavailable; screening summary confirms count only.,1496
B05,42_51_reserve_candidates_v04.json,,,not_assessed,Reserve ledger record unavailable; screening summary confirms count only.,1496
B06,42_51_reserve_candidates_v04.json,,,not_assessed,Reserve ledger record unavailable; screening summary confirms count only.,1496
B07,42_51_reserve_candidates_v04.json,,,not_assessed,Reserve ledger record unavailable; screening summary confirms count only.,1496
B08,42_51_reserve_candidates_v04.json,,,not_assessed,Reserve ledger record unavailable; screening summary confirms count only.,1496
B09,42_51_reserve_candidates_v04.json,,,not_assessed,Reserve ledger record unavailable; screening summary confirms count only.,1496
B10,42_51_reserve_candidates_v04.json,,,not_assessed,Reserve ledger record unavailable; screening summary confirms count only.,1496
B11,42_51_reserve_candidates_v04.json,,,not_assessed,Reserve ledger record unavailable; screening summary confirms count only.,1496
B12,42_51_reserve_candidates_v04.json,,,not_assessed,Reserve ledger record unavailable; screening summary confirms count only.,1496
B13,42_51_reserve_candidates_v04.json,,,not_assessed,Reserve ledger record unavailable; screening summary confirms count only.,1496
B14,42_51_reserve_candidates_v04.json,,,not_assessed,Reserve ledger record unavailable; screening summary confirms count only.,1496
B15,42_51_reserve_candidates_v04.json,,,not_assessed,Reserve ledger record unavailable; screening summary confirms count only.,1496
B16,42_51_reserve_candidates_v04.json,,,not_assessed,Reserve ledger record unavailable; screening summary confirms count only.,1496
B17,42_51_reserve_candidates_v04.json,,,not_assessed,Reserve ledger record unavailable; screening summary confirms count only.,1496
B18,42_51_reserve_candidates_v04.json,,,not_assessed,Reserve ledger record unavailable; screening summary confirms count only.,1496
B19,42_51_reserve_candidates_v04.json,,,not_assessed,Reserve ledger record unavailable; screening summary confirms count only.,1496
