category_small,category_large,category,total,original_ratio,past_exam_ratio,canonical_nodes,singleton_nodes,multi_nodes,local_singleton_nodes,local_multi_nodes,questions_per_node,strong_pairs_within_category,strong_pairs_incident,nodes_with_strong_pair,weak_only_nodes,questions_with_strong_alternative,question_strong_coverage,recheck_repair_structure,exam_importance,adaptive_importance,proposed_original,after_original_addition,allocation_reason,priority,source.original,source.past_exam,task.assessment_selection,task.device_selection,task.fact_recall,task.finding_interpretation,task.functional_goal_decision,task.intervention_selection,task.prognosis_prediction,task.safety_priority,primary_ability.KNOW,primary_ability.MEASURE,primary_ability.INTERPRET,primary_ability.PREDICT,primary_ability.PRESCRIBE,primary_ability.DECIDE,secondary_ability.KNOW,secondary_ability.MEASURE,secondary_ability.INTERPRET,secondary_ability.PREDICT,secondary_ability.PRESCRIBE,secondary_ability.DECIDE,secondary_ability.null,level.1,level.2,level.3,level.4,safety.none,safety.moderate,safety.critical,proposed_tasks.assessment_selection,proposed_tasks.device_selection,proposed_tasks.fact_recall,proposed_tasks.finding_interpretation,proposed_tasks.functional_goal_decision,proposed_tasks.intervention_selection,proposed_tasks.prognosis_prediction,proposed_tasks.safety_priority,proposed_nodes.existing_singleton_second,proposed_nodes.existing_multi_reinforce,proposed_nodes.new_node,proposed_levels.1,proposed_levels.2,proposed_levels.3,proposed_levels.4,proposed_safety.critical,proposed_safety.moderate,proposed_safety.none
1,A,解剖学,166,0.1746987951807229,0.8253012048192772,137,110,27,111,26,1.2116788321167884,26,27,23,4,49,0.29518072289156627,49/166問にstrong別問題あり。その他は同一問題の再確認またはweak/candidateに留まる。,高・人体構造の基盤,高・基礎から応用へ,12,178,166問あるが132問が再生。新事実の羅列より既存概念の所見・評価への接続。,B,29,137,3,1,132,29,0,1,0,0,132,3,29,0,2,0,19,2,1,0,0,0,144,132,9,25,0,166,0,0,2,0,2,8,0,0,0,0,9,3,0,2,4,4,2,0,0,12
2,A,生理学,170,0.11176470588235295,0.888235294117647,151,128,23,133,18,1.1258278145695364,10,12,12,11,22,0.12941176470588237,22/170問にstrong別問題あり。その他は同一問題の再確認またはweak/candidateに留まる。,高・機能理解の基盤,高・再生偏重の是正,16,186,159/170が再生、155問がLevel1。生理反応の解釈を優先し既存singletonを補強。,B,19,151,0,0,159,11,0,0,0,0,159,0,11,0,0,0,6,2,1,0,0,0,161,155,5,10,0,170,0,0,2,0,2,9,0,1,1,1,11,4,1,2,5,7,2,0,2,14
3,A,心理学,25,0.4,0.6,15,6,9,6,9,1.6666666666666667,11,13,9,0,19,0.76,19/25問にstrong別問題あり。その他は同一問題の再確認またはweak/candidateに留まる。,補完・心理/行動,中・既存strongあり,4,29,25問で少数だがstrongあり。学習・行動の解釈と目標設定を限定補完。,B,10,15,4,0,13,7,0,1,0,0,13,4,7,0,1,0,8,1,1,0,0,0,15,13,1,11,0,25,0,0,1,0,0,1,1,1,0,0,2,2,0,0,1,2,1,0,0,4
4,A,人間発達学,34,0.35294117647058826,0.6470588235294118,28,22,6,22,6,1.2142857142857142,5,5,5,1,10,0.29411764705882354,10/34問にstrong別問題あり。その他は同一問題の再確認またはweak/candidateに留まる。,中・発達/小児の基盤,中・singleton補完,7,41,34問、再生25問。発達の観察・評価・見通しへ需要を変える。,B,12,22,1,0,25,8,0,0,0,0,25,1,8,0,0,0,4,1,0,0,0,0,29,25,3,6,0,34,0,0,2,0,0,2,1,1,1,0,5,1,1,0,2,4,1,0,1,6
5,A,教育学,6,0.0,1.0,5,4,1,4,1,1.2,0,0,0,1,0,0.0,0/6問にstrong別問題あり。その他は同一問題の再確認またはweak/candidateに留まる。,補完・管理/教育,中・少数を選択補完,4,10,6問、original 0。教育場面の選択を小規模補完し、均等化はしない。,B,0,6,0,0,4,0,0,2,0,0,4,0,0,0,2,0,0,0,1,0,0,0,5,4,0,2,0,5,1,0,0,0,0,1,1,2,0,0,3,0,1,0,1,2,1,0,1,3
6,A,医学概論,69,0.5072463768115942,0.4927536231884058,61,53,8,53,8,1.1311475409836065,5,5,5,3,10,0.14492753623188406,10/69問にstrong別問題あり。その他は同一問題の再確認またはweak/candidateに留まる。,中・管理/制度,中・判断の補完,8,77,51/69が再生。倫理・制度・管理の判断へ展開する。,B,35,34,3,0,51,10,0,3,0,2,51,3,10,0,3,2,1,6,3,0,1,1,57,38,13,15,3,63,4,2,1,0,0,2,1,1,0,3,5,2,1,0,3,4,1,1,3,4
7,B,病理学,82,0.23170731707317074,0.7682926829268293,63,46,17,46,17,1.3015873015873016,19,21,16,1,34,0.4146341463414634,34/82問にstrong別問題あり。その他は同一問題の再確認またはweak/candidateに留まる。,高・病態の基盤,高・所見への接続,10,92,62/82が再生。病態の所見解釈へ接続する。,B,19,63,2,0,62,16,0,1,0,1,62,2,16,0,1,1,13,0,3,0,0,1,65,62,3,17,0,79,3,0,1,0,1,5,0,1,1,1,7,3,0,1,3,4,2,0,2,8
8,B,内科学,170,0.3058823529411765,0.6941176470588235,148,122,26,126,22,1.1486486486486487,18,21,20,6,38,0.2235294117647059,38/170問にstrong別問題あり。その他は同一問題の再確認またはweak/candidateに留まる。,高・内部障害,高・Safety/解釈,25,195,170問中101問が再生。臨床判断・Safetyと既存概念の別問題を優先。,A,52,118,11,0,101,33,0,14,2,9,101,11,33,2,14,9,10,4,15,0,2,9,130,101,23,38,8,145,17,8,4,0,0,6,1,5,2,7,18,6,1,0,8,11,6,6,7,12
9,B,神経医学,118,0.4491525423728814,0.5508474576271186,113,105,8,108,5,1.0442477876106195,0,0,0,8,0,0.0,0/118問にstrong別問題あり。その他は同一問題の再確認またはweak/candidateに留まる。,高・神経疾患,最優先・strong不在,28,146,118問でもstrong node 0。singleton・weak-onlyの異なる需要を最優先。,A,53,65,14,1,38,41,1,21,0,2,38,14,41,0,22,3,8,0,23,0,1,5,81,38,35,44,1,100,17,1,5,1,0,7,2,6,3,4,20,7,1,0,9,12,7,4,6,18
10,B,精神医学,40,0.125,0.875,34,28,6,28,6,1.1764705882352942,5,5,5,1,10,0.25,10/40問にstrong別問題あり。その他は同一問題の再確認またはweak/candidateに留まる。,中・精神障害,中・需要多様化,7,47,40問中30問がLevel1。観察・対応判断の小規模補完。,B,5,35,2,0,27,6,0,3,2,0,27,2,6,2,3,0,5,0,3,0,0,1,31,30,3,7,0,40,0,0,1,0,0,2,1,1,0,2,4,2,1,0,2,4,1,1,2,4
11,B,小児学,46,0.6521739130434783,0.34782608695652173,43,40,3,40,3,1.069767441860465,2,2,2,1,4,0.08695652173913043,4/46問にstrong別問題あり。その他は同一問題の再確認またはweak/candidateに留まる。,中〜高・小児,高・singleton/Safety,12,58,46問中40 singleton。発達だけでなく評価・介入・Safetyを接続。,A,30,16,10,2,15,4,3,8,0,4,15,10,4,0,10,7,1,1,15,1,4,3,21,16,3,21,6,34,9,3,2,1,0,3,1,2,1,2,8,2,2,0,4,5,3,2,3,7
